CODGEO;P22_POP0014;P22_POP1529;P22_POP3044;P22_POP4559;P22_POP6074;P22_POP7589;P22_POP90P;P16_POP;P11_POP;C22_MENPSEUL;C22_MENFAM;C22_COUPAENF;C22_FAMMONO;C22_COUPSENF;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_CHOM1524;P22_CHOM2554;P22_CHOM5564;SNEMM_23;ENCTOT25;ENCTOT24;ENCTOT23;ENCTOT22;ENCITOT25;ETCTOT25;HT26;CPG26;VV26;RT26;AJCS26;ELECTEURSLP2024;BPE_2024_B105;BPE_2024_B201;BPE_2024_C201;BPE_2024_C301;BPE_2024_D307
01032;842.783088660498;580.047722252145;804.433518642903;562.082470540224;438.268768528894;210.897417739433;45.487013635903;3314.0;3040.0;279.829180050657;999.986875450777;488.616827242241;151.78640987013;375.688942372018;182.916390075351;1327.47861238895;186.843424847762;31.3666486416762;96.8318246113844;9.48526779663587;2655.85314080124;53.0;46.0;45.0;40.0;39.0;56.0;0.0;0.0;0.0;0.0;0.0;2089.0;0.0;0.0;0.0;0.0;1.0
01033;3057.08602106055;2851.94357368396;3277.20154514811;3289.2288943492;2368.41416631432;1152.53666139223;165.589138051626;16302.0;15810.0;2692.75603645195;4454.54388728212;1954.01908615082;702.557363679466;1820.3186492219;947.825853649823;5887.67413065114;1139.76407940769;248.948145869594;795.953850522673;127.538942979582;2286.54726626806;278.0;260.0;225.0;205.0;217.0;315.0;6.0;0.0;0.0;0.0;0.0;9755.0;3.0;1.0;2.0;1.0;6.0
01034;1529.0;1497.0;1468.0;1762.0;1723.0;1039.0;252.0;9133.0;8761.0;1933.96204715354;2382.49683726279;877.246693502012;413.663599769983;1121.48993674526;491.0;2745.0;685.0;99.0;304.0;65.0;2479.21172088655;148.0;135.0;117.0;118.0;110.0;172.0;1.0;0.0;0.0;0.0;0.0;6167.0;4.0;2.0;2.0;2.0;4.0
01035;52.1752035465906;22.6479260426024;64.0671045444958;73.1525686431061;70.6630136339571;20.2740913605245;3.02009222872338;316.999999999999;323.000000000001;56.7185960296279;95.2615389541851;34.444996985028;0.0;60.816541969157;6.94416633571957;111.009311385989;38.2735175662803;0.989479134709334;3.97542931032728;2.03091271527833;;1.0;2.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;272.0;0.0;0.0;0.0;0.0;0.0
01036;211.0;129.0;208.0;282.0;360.0;145.0;15.0;1299.0;1273.0;204.243542435424;428.413284132841;129.520295202952;34.8708487084871;269.0036900369;41.0;402.0;137.0;4.0;24.0;10.0;;20.0;15.0;15.0;14.0;17.0;21.0;0.0;0.0;0.0;0.0;0.0;1099.0;0.0;0.0;0.0;0.0;0.0
01037;55.0;37.0;63.0;75.0;51.0;29.0;1.0;294.0;273.0;44.2372881355933;83.5593220338984;44.2372881355933;9.83050847457628;29.4915254237288;8.0;120.0;22.0;1.0;11.0;1.0;;10.0;3.0;0.0;2.0;7.0;10.0;0.0;0.0;0.0;0.0;0.0;234.0;0.0;0.0;0.0;0.0;0.0
01038;135.0;120.0;137.0;149.0;164.0;58.0;6.0;762.0;714.0;94.2645161290322;238.141935483871;104.187096774193;14.8838709677419;119.070967741935;41.0;269.0;66.0;5.0;11.0;2.0;;8.0;8.0;6.0;10.0;5.0;12.0;0.0;0.0;0.0;0.0;0.0;601.0;0.0;0.0;0.0;0.0;0.0
01040;98.7151108528224;69.5328222336382;100.417492985358;104.495715601931;71.4153617328117;32.2338691783881;4.18962741504926;493.999999999998;446.000000000002;49.6043584919959;146.380266238029;71.7048259279619;10.4460533291704;64.2293869808963;22.7680240045107;186.179296317955;43.1227145451426;3.07209437315366;8.07489991098826;3.07209437315366;;10.0;4.0;4.0;6.0;8.0;12.0;0.0;0.0;0.0;0.0;0.0;379.0;0.0;0.0;0.0;0.0;0.0
01041;133.76585268786;111.241109734975;161.536879092581;157.921052406842;132.51199805544;54.8597526525606;10.1633553697412;749.999999999998;731.0;115.873723389252;231.172155975108;96.3358074453909;29.408705074218;105.427643455499;35.0043183061193;294.250731773816;64.7750343212791;5.80742466132635;24.4354467533261;3.95893758719966;;10.0;8.0;3.0;8.0;8.0;10.0;0.0;0.0;0.0;0.0;0.0;572.0;0.0;0.0;0.0;0.0;0.0
01042;53.0;31.0;57.0;73.0;57.0;18.0;1.0;276.0;247.0;38.0327868852459;85.5737704918033;33.2786885245902;14.2622950819672;42.7868852459017;10.0;111.0;31.0;0.0;7.0;0.0;;5.0;6.0;2.0;3.0;4.0;6.0;0.0;0.0;0.0;0.0;0.0;265.0;0.0;0.0;0.0;0.0;0.0
