CODGEO;P22_POP;P16_POP;SUPERF;NAIS1621;DECE1621;P22_MEN;NAISD24;DECESD24;P22_LOG;P22_RP;P22_RSECOCC;P22_LOGVAC;P22_RP_PROP;NBMENFISC21;PIMP21;MED21;TP6021;P22_EMPLT;P22_EMPLT_SAL;P16_EMPLT;P22_POP1564;P22_CHOM1564;P22_ACT1564;ETTOT24;ETAZ24;ETBE24;ETFZ24;ETGU24;ETOQ24;ETTEF124;ETTEFP1024
01038;769;762;18.25;43;28;333;6;4;369;333;18;18;271;321;s;24250;s;95.1532048783844;67.2542009448358;105.116657915745;465;18;376;12;2;0;2;6;2;9;0
01040;481;494;10.83;28;15;191.494690029197;3;4;223.050743840856;191.494690029197;10.1793721973094;21.3766816143497;168.503922573875;195;s;23440;s;42.7116360511148;23.8302255191089;59.0434881890895;306.314355312498;14.2190886572956;252.070034867609;8;2;0;2;2;2;8;0
01041;762;750;3.37;55;34;343.700410697778;3;9;402.352655658206;343.700410697778;12.7504880348757;45.9017569255525;255.514796031324;336;s;25150;s;68.1009701028769;44.6324521920599;42.2613269872252;480.776232855412;34.2018090018521;394.030084401215;9;0;0;2;5;2;9;0
01042;290;276;2.77;11;11;128;1;3;141;128;4;9;109;126;s;25520;s;16.843002467217;9.84300246721701;25.9666332286023;184;7;152;4;1;0;0;2;1;3;0
01043;4936;4557;10.64;252;153;2003.95083790501;65;33;2157.8471872924;2003.95083790501;25.2980300362836;128.598319351108;1550.79485818388;1963;70,0;28730;6,0;4038.08805772223;3652.71285317908;3164.42687584607;3067.64810464268;161.598192365605;2407.76154183169;344;3;25;43;256;17;234;76
01044;669;611;13.7;35;14;290.950742561982;4;8;358.173810409883;290.950742561982;27.8729793515687;39.3500884963322;179.764363439641;276;s;28550;s;65.3936513450227;46.4900175649052;59.9379896946893;406.505584216259;40.0924559784024;342.328485984743;16;2;1;2;9;2;13;1
01045;280;285;15.83;30;12;105.336240616031;2;0;122.194997678178;105.336240616031;9.48305084745762;7.37570621468926;83.4037106661715;106;s;28180;s;46.7590615274793;35.8040633961859;52.9843387583022;182.65052869609;6.81854255916277;156.277530777211;6;1;0;1;2;2;5;1
01046;897;857;11.39;43;32;363.412399857188;11;4;397.271764212509;363.412399857188;12.3124961292077;21.5468682261134;296.255731268767;354;s;24260;s;115.007733037388;72.9812293603873;107.412213479974;576.608642810256;18.0548450417959;471.060309756917;20;4;0;7;7;2;19;1
01047;1351;993;9.32;90;20;512.894128176558;22;4;544.958629652824;512.894128176558;13.894617306382;18.1698841698842;391.829322845671;484;s;27110;s;905.69207966294;812.153227531283;938.954020813065;900.202480523459;55.4636057046778;763.921601857977;80;0;26;8;38;8;45;28
01049;3401;3021;9.4;232;82;1306.62987144131;37;17;1386.45062072085;1306.62987144131;16.3734870317003;63.4472622478387;996.152618786934;1279;65,0;26780;s;1176.15923107381;1026.80343858953;940.959144938627;2130.53656948641;137.618021412935;1662.45636627005;110;4;15;15;69;7;68;31
01050;390;338;9.05;25;16;139.904415933999;1;0;161.030164436993;139.904415933999;15.0898203592815;6.0359281437126;117.085447241772;136;s;23180;s;34.3787992294598;17.1868297418885;29.4252345526547;235.7050272222;10.1121732376024;191.22715389003;6;1;0;1;1;3;6;0
01051;99;89;4.92;7;7;46.1359223300971;0;2;89.1081445523194;46.1359223300971;31.7175925925927;11.2546296296296;35.5631067961165;s;s;s;s;7.78677055376857;2.98094531105013;9;55.747572815534;4.80582524271844;42.2912621359223;1;0;0;0;0;1;1;0
01052;323;319;26.09;16;11;139.112251454559;1;0;153.831549700173;139.112251454559;9.19956140350877;5.51973684210526;114.476549288598;126;s;27630;s;38.2557027704188;18.1863098079363;52.815456807706;184.428822445734;4.00896244975648;143.790362915039;13;4;0;1;6;2;12;1
01053;42065;41365;23.86;2869;2827;20927.1074089568;415;456;23765.9908957264;20927.1074089568;565.060218983019;2273.82326778656;7786.5515918029;18870;46,0;20210;24,0;33033.6782392465;30363.6053005671;31441.8664166424;25629.0807522521;2847.22628546029;18060.2655422798;2026;5;96;104;1517;304;1369;471
01054;1540;1325;8.98;120;31;587.674514360227;15;6;627.486125694487;587.674514360227;9.1872949232909;30.6243164109697;482.093905221926;573;s;27320;s;97.8743630710128;51.0109504752404;85.4163779814447;976.37159402089;30.0519553828248;821.284053641988;25;3;0;6;12;4;17;1
01056;362;354;16.94;21;23;157.754105686335;2;4;229.0864770543;157.754105686335;49.3032566807987;22.0291146871654;134.356934609608;150;s;21640;s;44.0374181031543;15.4624104841929;51.1507606602497;202.208734191003;9.87536221582972;168.618881210815;10;8;1;0;0;1;9;0
01057;509;515;7.31;31;28;210.701671992492;2;4;236.015479523872;210.701671992492;13.163179916318;12.1506276150628;169.678778387637;204;s;24300;s;165.638187901947;135.569777458512;86.9032997401482;314.176749841506;11.0863269713495;250.985544821697;16;1;4;2;6;3;11;3
01058;812;849;11;58;41;345.777217473311;8;6;417.555726245241;345.777217473311;28.3070175438596;43.4714912280701;280.220052362308;344;s;23420;s;318.768517639649;272.998682310223;278.570326750376;481.318370422445;32.6539051439442;380.785220171049;26;0;4;3;15;4;18;7
01060;547;522;23.79;23;37;262.569800287544;9;10;375.455832849669;262.569800287544;93.1583763862198;19.7276561759054;177.902845272081;244;s;24970;s;88.8525649676776;58.9829445436384;104.476388558783;311.067779259802;15.1652326723236;266.548024929899;19;3;2;2;7;5;16;1
01061;1117;1169;6.9;59;39;471.924976325056;7;8;529.000677939133;471.924976325056;34.6531045514035;22.4225970626728;425.335531268085;460;s;25110;s;87.7097448203146;64.5365189116991;85.8558737199866;686.647107201259;44.5801151295174;532.797084804803;14;0;2;5;5;2;10;2
